location,size(bhk),total_sqft,bath,balcony,price
2nd Stage Nagarbhavi,5,1200.0,4.0,3.0,24000000.0
Kengeri,4,2400.0,5.0,2.0,25300000.0
Sarjapur  Road,3,1220.0,3.0,2.0,6200000.0
Kanakapura Road,3,1950.0,3.0,2.0,13000000.0
Somasundara Palya,2,1178.0,2.0,3.0,7300000.0
Dasanapura,3,1286.0,3.0,2.0,6144000.0
Begur Road,2,1160.0,2.0,2.0,4200000.0
Jigani,2,918.0,2.0,2.0,5500000.0
Electronic City,3,1563.0,3.0,2.0,9184000.0
Govindpura,2,1326.0,2.0,1.0,6217000.0
3rd Block Jayanagar,3,1350.0,2.0,2.0,14000000.0
Hebbal,4,3960.0,5.0,3.0,38600000.0
Begur Road,2,1240.0,2.0,2.0,3906000.0
Kaggadasapura,2,1325.0,2.0,2.0,5000000.0
Sonnenahalli,2,1100.0,2.0,1.0,4400000.0
Cunningham Road,3,3875.0,3.0,2.0,80000000.0
Gollarapalya Hosahalli,3,1605.0,3.0,2.0,5000000.0
Hennur Road,5,5600.0,5.0,3.0,51500000.0
Somasundara Palya,2,1260.0,2.0,1.0,6000000.0
Hoodi,3,1553.0,3.0,2.0,8309000.0
Whitefield,2,1280.0,2.0,2.0,5200000.0
Hebbal,3,1550.0,2.0,2.0,7500000.0
Arekere,3,1445.0,2.0,2.0,12500000.0
Murugeshpalya,3,1550.0,3.0,2.0,7400000.0
Electronics City Phase 1,3,1515.0,2.0,1.0,8091000.0
Hosa Road,3,1332.0,2.0,1.0,8612000.0
Electronic City,3,1652.0,3.0,2.0,7000000.0
Hegde Nagar,3,1570.0,3.0,1.0,10500000.0
Sarjapur  Road,4,5400.0,4.0,3.0,72500000.0
Sector 2 HSR Layout,1,794.0,1.0,1.0,6000000.0
Seegehalli,3,1200.0,2.0,0.0,6200000.0
7th Phase JP Nagar,4,3600.0,3.0,2.0,41000000.0
Hosakerehalli,3,1200.0,3.0,2.0,17500000.0
JP Nagar,4,1650.0,3.0,1.0,22000000.0
Chandra Layout,4,600.0,2.0,1.0,8500000.0
HRBR Layout,3,2800.0,3.0,2.0,25000000.0
Sarjapur  Road,3,1750.0,3.0,2.0,11000000.0
Hebbal,2,1053.0,2.0,1.0,4800000.0
Kanakpura Road,3,1100.0,3.0,2.0,5300000.0
Kadubeesanahalli,3,1665.0,3.0,3.0,7000000.0
Outer Ring Road East,4,4051.0,4.0,3.0,34500000.0
Malleshwaram,4,5500.0,5.0,1.0,150000000.0
Bommasandra,3,1447.0,3.0,2.0,8000000.0
Balagere,2,1012.0,2.0,1.0,7500000.0
Malleshpalya,3,1900.0,3.0,2.0,6000000.0
Narayanapura,2,1308.0,2.0,2.0,9266000.0
Hormavu,1,1351.0,2.0,1.0,5300000.0
Electronic City,2,1000.0,2.0,2.0,2200000.0
J P Nagar 7th Phase Ramayya City,4,1200.0,4.0,2.0,35000000.0
Gunjur,2,1140.0,2.0,2.0,4911000.0
Uttarahalli,3,1250.0,2.0,1.0,5500000.0
Kanakapura,3,1290.0,3.0,3.0,4515000.0
Ambedkar Nagar,2,1424.0,2.0,2.0,9000000.0
Garudachar Palya,3,1320.0,2.0,2.0,6060000.0
Akshaya Nagar,3,1662.0,3.0,2.0,8550000.0
Shanthala Nagar,5,8321.0,5.0,3.0,270000000.0
Begur Road,2,1200.0,2.0,2.0,4500000.0
Garudachar Palya,3,1295.0,2.0,2.0,5950000.0
Battarahalli,3,1777.0,3.0,2.0,10000000.0
Anandapura,3,1576.0,3.0,2.0,5910000.0
Sompura,2,1020.0,2.0,3.0,4100000.0
Green Domain Layout,3,2100.0,3.0,3.0,17000000.0
Raja Rajeshwari Nagar,1,648.0,1.0,1.0,3175000.0
Neeladri Nagar,3,1167.0,2.0,1.0,3800000.0
Vyalikaval,7,1000.0,7.0,3.0,16000000.0
Hoodi,2,1220.0,2.0,2.0,5089000.0
Kogilu,3,2350.0,5.0,1.0,32700000.0
Vittasandra,2,1259.0,2.0,1.0,6740000.000000001
Gottigere,4,2000.0,4.0,2.0,8200000.0
8th Phase JP Nagar,3,1800.0,3.0,1.0,8000000.0
Cleveland Town,3,1991.0,3.0,2.0,16000000.0
Bannerghatta,3,1665.0,3.0,3.0,11000000.0
"Hoodi Circle, ",2,1234.0,2.0,1.0,6100000.0
Mysore Road,3,1340.0,2.0,2.0,6431000.0
Banashankari,2,1170.0,2.0,2.0,4679000.0
Electronics City Phase 1,2,995.0,2.0,0.0,4600000.0
Old Airport Road,2,1075.0,2.0,2.0,6000000.0
Electronic City,2,1025.0,2.0,1.0,5450000.0
Rachenahalli,3,2721.0,3.0,2.0,11300000.0
Thanisandra,3,2000.0,3.0,2.0,9900000.0
Whitefield,4,2500.0,4.0,3.0,15500000.0
Mallasandra,2,1325.0,2.0,2.0,7000000.0
Kadugodi,2,1314.0,2.0,3.0,6820000.0
Kanakpura Road,3,2265.0,3.0,2.0,13600000.0
7th Phase JP Nagar,7,4800.0,7.0,0.0,17000000.0
Yelahanka,2,1026.0,2.0,1.0,4100000.0
Syndicate Bank Colony,3,1200.0,3.0,2.0,6600000.0
Kada Agrahara,3,2220.0,4.0,2.0,6500000.0
Hebbal,2,1420.0,2.0,1.0,9939000.0
Sarjapur  Road,3,1888.0,4.0,1.0,9500000.0
JP Nagar,2,1300.0,2.0,1.0,9087000.0
Rajaji Nagar,2,1216.0,2.0,0.0,9716000.0
"Off Sarjapur road, ",4,3000.0,4.0,3.0,34200000.0
Begur,3,1559.0,3.0,2.0,6300000.0
Harlur,2,1290.0,2.0,1.0,8700000.0
Whitefield,1,905.0,1.0,1.0,5500000.0
Sarjapura - Attibele Road,2,829.0,2.0,1.0,2280000.0
Koramangala,2,1900.0,2.0,1.0,20000000.0
Sarjapur  Road,3,1300.0,3.0,2.0,6000000.0
Channasandra,2,1115.0,2.0,1.0,3345000.0000000005
Rajaji Nagar,3,2409.0,3.0,2.0,36000000.0
Ambedkar Nagar,3,2150.0,4.0,2.0,12500000.0
Marathahalli,3,1305.0,2.0,1.0,6900000.0
Kanakpura Road,2,1252.0,2.0,1.0,5632000.0
Whitefield,2,1200.0,2.0,1.0,4613000.0
Koramangala,3,1750.0,3.0,1.0,13000000.0
Electronic City Phase II,2,545.0,1.0,1.0,3500000.0
BEL Layout,2,1375.0,2.0,1.0,10500000.0
Subramanyapura,2,1313.0,2.0,2.0,6650000.0
Attibele,4,3640.0,4.0,1.0,27500000.0
Akshayanagara East,3,1693.0,3.0,2.0,10800000.0
JCR Layout,2,1160.0,2.0,1.0,4175000.0
Sri Kanteshwara Nagar,3,1200.0,3.0,0.0,20000000.0
Subramanyapura,3,1255.0,2.0,2.0,7900000.0
KR Puram,4,1000.0,4.0,1.0,7500000.0
Bellari Road,2,900.0,2.0,1.0,4500000.0
Yelahanka New Town,3,1700.0,3.0,2.0,9000000.0
Indira Nagar,3,1875.0,3.0,1.0,18000000.0
Uttarahalli,3,1700.0,3.0,2.0,8800000.0
Harlur,3,1749.0,3.0,2.0,11500000.0
Dasanapura,2,1500.0,3.0,1.0,6500000.0
Varanasi,2,1175.0,2.0,1.0,4800000.0
Akshaya Nagar,2,1280.0,2.0,1.0,6000000.0
Abbaiah Reddy Layout,2,1200.0,2.0,2.0,5000000.0
Ramagondanahalli,3,1610.0,2.0,2.0,11500000.0
Electronic City,2,1070.0,2.0,1.0,4600000.0
TC Palaya,2,1200.0,2.0,0.0,6600000.0
9th Phase JP Nagar,2,1127.0,2.0,1.0,5000000.0
Indira Nagar,2,1210.0,2.0,1.0,10200000.0
Jyothi Nagar,2,600.0,2.0,1.0,2300000.0
Thigalarapalya,4,4190.0,4.0,3.0,38000000.0
Tata Nagar,2,1364.0,2.0,2.0,7000000.0
Whitefield,4,2268.0,3.0,0.0,14600000.0
RK Layout 2nd Stage,3,1150.0,2.0,2.0,7750000.0
Tirumanahalli,2,1146.0,2.0,1.0,3950000.0
Magadi Road,2,1345.0,2.0,2.0,5500000.0
Mylasandra,2,1110.0,2.0,2.0,4100000.0
Kengeri,2,750.0,2.0,1.0,3600000.0
Motappa Layout,2,1156.0,2.0,2.0,4950000.0
Pattandur Agrahara,2,1247.0,2.0,1.0,5980000.0
Mangammanapalya,2,1058.0,2.0,2.0,6000000.0
Kaggalipura,2,950.0,2.0,1.0,4800000.0
Vasanthapura,2,420.0,2.0,0.0,3500000.0
BTM 1st Stage,4,600.0,2.0,2.0,9000000.0
Vijayanagar,3,1520.0,2.0,1.0,10300000.0
Marathahalli,2,1215.0,2.0,2.0,5886000.0
Raghuvanahalli,1,900.0,1.0,1.0,3000000.0
Hennur Road,3,2350.0,3.0,2.0,17400000.0
Thanisandra,2,1050.0,2.0,2.0,4600000.0
 Devarabeesana Halli,3,1672.0,3.0,2.0,15000000.0
Laggere,5,2800.0,5.0,2.0,12500000.0
MCECHS  layout,3,1500.0,2.0,2.0,6500000.0
Geddalahalli,2,1400.0,2.0,2.0,6500000.0
8th Phase JP Nagar,4,2700.0,4.0,2.0,13000000.0
Bommasandra,2,920.0,2.0,1.0,3746000.0
Sarjapur  Road,3,1200.0,3.0,2.0,7000000.0
Brindavan Nagar,3,1250.0,3.0,2.0,13900000.0
HSR Layout,2,1140.0,2.0,2.0,4600000.0
Yelahanka,4,4346.0,4.0,1.0,45000000.0
Haralur Road,2,1464.0,2.0,2.0,5600000.0
Ambedkar Colony,2,1468.0,3.0,2.0,13000000.0
Electronics City Phase 1,3,1555.0,2.0,1.0,8200000.0
Munnekollal,6,1200.0,4.0,2.0,11000000.0
Whitefield,2,1150.0,2.0,0.0,5500000.0
Kadubeesanahalli,2,970.0,2.0,1.0,3500000.0
Banashankari,4,2500.0,4.0,3.0,9500000.0
Seetharampalya,2,1166.0,2.0,1.0,5300000.0
Konanakunte,3,2779.0,3.0,1.0,31700000.0
Electronic City,3,1350.0,3.0,2.0,5800000.0
Mariyannapalya,2,900.0,2.0,3.0,4600000.0
7th Phase JP Nagar,3,1300.0,2.0,2.0,5200000.0
Kanaka Nagar,3,1190.0,3.0,1.0,5500000.0
Kodichikkanahalli,3,1495.0,2.0,2.0,7500000.0
Indira Nagar,2,1224.0,2.0,2.0,10500000.0
Banashankari Stage III,3,1350.0,2.0,2.0,6800000.0
Green Glen Layout,2,940.0,2.0,1.0,5680000.0
Raja Rajeshwari Nagar,2,1100.0,2.0,1.0,5500000.0
Kaikondrahalli,2,1300.0,2.0,2.0,6100000.0
Palace Road,3,1480.0,2.0,0.0,14500000.0
Hoodi,2,1105.0,2.0,2.0,4637000.0
Sarjapur  Road,3,2600.0,3.0,2.0,20000000.0
Yelahanka,3,1517.0,3.0,2.0,7630000.0
Horamavu Banaswadi,6,3800.0,8.0,0.0,20000000.0
Jalahalli,3,1615.0,3.0,2.0,8975000.0
MCECHS  layout,3,1500.0,3.0,2.0,6500000.0
Mysore Road,3,1082.0,3.0,1.0,5050000.0
Marathahalli,2,1365.0,2.0,2.0,7300000.0
Electronic City,2,1000.0,2.0,3.0,2500000.0
CV Raman Nagar,2,1392.0,2.0,1.0,9800000.0
Kodigehalli,2,1086.0,2.0,1.0,3365999.9999999995
Hennur Road,3,1586.0,3.0,3.0,9394000.0
Hennur,2,1100.0,2.0,1.0,6000000.0
Electronic City Phase II,2,1065.0,2.0,1.0,3075000.0
TC Palaya,3,1500.0,2.0,1.0,12000000.0
7th Phase JP Nagar,3,1575.0,2.0,2.0,12000000.0
Hennur Road,3,1975.0,3.0,3.0,12300000.0
Nelamangala,2,820.0,2.0,2.0,2400000.0
Gubbalala,3,1745.0,3.0,2.0,11000000.0
Nagarbhavi,2,1223.0,2.0,1.0,6000000.0
Ananth Nagar,3,1200.0,2.0,1.0,6500000.0
Basaveshwara Nagar,2,1200.0,2.0,0.0,9000000.0
Binny Pete,1,665.0,1.0,1.0,4608000.0
Bharathi Nagar,2,1351.0,2.0,2.0,7000000.0
Hebbal,3,1355.0,3.0,1.0,8387000.0
Sector 7 HSR Layout,3,3900.0,3.0,2.0,30000000.0
Thanisandra,3,1588.0,3.0,1.0,7555000.0
Amruthahalli,2,900.0,2.0,1.0,6000000.0
Bhuvaneshwari Nagar,3,440.0,3.0,0.0,5000000.0
Panathur,3,1370.0,2.0,2.0,7500000.0
Whitefield,3,1500.0,3.0,1.0,7180000.0
Kanakpura Road,3,1100.0,3.0,2.0,5300000.0
Hoodi,2,1247.0,2.0,0.0,5300000.0
Domlur Layout,3,2000.0,3.0,2.0,20000000.0
Balagere,2,1020.07,2.0,1.0,6838000.0
Gunjur Palya,3,1033.0,2.0,2.0,3200000.0
B Narayanapura,3,1460.0,2.0,3.0,7300000.0
Garudachar Palya,2,1150.0,2.0,2.0,5280000.0
Babusapalaya,2,1141.0,2.0,1.0,4600000.0
Doddaballapur,4,4200.0,4.0,3.0,32500000.0
Hosa Road,3,1665.0,2.0,3.0,12500000.0
Kanakapura,2,1295.0,2.0,2.0,6400000.0
Haralur Road,2,1230.0,2.0,1.0,7800000.0
Anand Nagar,3,1080.0,2.0,2.0,7500000.0
Kaggalipura,2,1000.0,2.0,1.0,6000000.0
Kaval Byrasandra,3,2400.0,2.0,0.0,5000000.0
Rayasandra,3,1708.0,3.0,2.0,7500000.0
Thanisandra,3,1697.0,3.0,2.0,11500000.0
Whitefield,4,3537.0,5.0,3.0,21000000.0
Hosa Road,1,615.0,1.0,1.0,2829000.0
Banashankari,3,1350.0,2.0,0.0,8300000.0
Jalahalli,2,1083.0,2.0,1.0,3249000.0
Gottigere,3,1460.0,2.0,2.0,6500000.0
Babusapalaya,2,1084.0,2.0,1.0,5800000.0
Bommasandra,2,1035.0,2.0,1.0,4143000.0
Vijaya Bank Layout,3,2400.0,2.0,1.0,15000000.0
Hosur Road,1,460.0,1.0,1.0,2100000.0
Whitefield,2,1285.0,2.0,2.0,5590000.0
Sarjapur,3,1200.0,3.0,2.0,7800000.0
Raghuvanahalli,2,1070.0,2.0,1.0,3500000.0
Hegde Nagar,3,1801.0,3.0,2.0,14000000.0
Whitefield,3,1697.0,3.0,2.0,11500000.0
AECS Layout,2,1199.0,2.0,2.0,6500000.0
Iblur Village,3,2300.0,3.0,1.0,22000000.0
Mysore Road,3,1340.0,2.0,3.0,6431000.0
Marathahalli,4,3800.0,4.0,3.0,20500000.0
Wilson Garden,2,1125.0,2.0,1.0,7500000.0
Anandapura,2,1200.0,2.0,1.0,6700000.0
Subramanyapura,2,1050.0,2.0,3.0,4100000.0
Nagarbhavi,2,956.0,2.0,1.0,4900000.0
Sarjapur,2,1000.0,2.0,2.0,3000000.0
Dooravani Nagar,3,1596.0,3.0,0.0,9500000.0
Kumbhena Agrahara,6,1200.0,5.0,1.0,15000000.0
Kanakpura Road,2,1296.0,2.0,3.0,8906000.0
Challaghatta,3,1639.0,3.0,3.0,12300000.0
Electronic City Phase II,2,1219.0,2.0,1.0,6125000.0
Uttarahalli,3,1200.0,3.0,1.0,5000000.0
Bannerghatta Road,2,1218.0,2.0,1.0,7300000.0
Nyanappana Halli,2,920.0,2.0,3.0,3700000.0
Yeshwanthpur,3,2559.0,3.0,2.0,14100000.0
2nd Phase Judicial Layout,1,525.0,1.0,1.0,2600000.0
Bannerghatta Road,3,1427.0,2.0,2.0,4851000.0
Kothannur,3,1270.0,3.0,2.0,4500000.0
Ramagondanahalli,2,920.0,2.0,3.0,6500000.0
Dommasandra,4,2700.0,3.0,2.0,6800000.0
Indira Nagar 3rd Stage,3,1740.0,3.0,2.0,19900000.0
Lingadheeranahalli,3,1530.0,2.0,2.0,9000000.0
Gokula Extension,3,1372.0,2.0,1.0,9000000.0
Nehru Nagar,4,2363.0,5.0,2.0,12000000.0
Marathahalli,4,3895.0,4.0,3.0,22000000.0
Jakkur,3,1950.0,3.0,2.0,13100000.0
Hoysalanagar,2,885.0,2.0,3.0,4000000.0
Yelahanka,2,600.0,2.0,2.0,2700000.0
Kumaraswami Layout,5,1270.0,4.0,1.0,12800000.0
Vijayanagar,2,1380.0,2.0,0.0,22500000.0
Kanakpura Road,2,1339.0,2.0,2.0,6200000.0
Whitefield,2,1130.0,2.0,1.0,3600000.0
Uttarahalli,2,1085.0,2.0,2.0,4300000.0
Yeshwanthpur,3,1430.0,3.0,2.0,7200000.0
Bhoganhalli,4,1451.5,4.0,1.0,12100000.0
AGS Layout,3,1490.0,2.0,1.0,5960000.0
Vishwanatha Nagenahalli,4,1650.0,4.0,0.0,9900000.0
Bellandur,2,1286.0,2.0,2.0,5700000.0
KR Garden,2,925.0,2.0,2.0,6300000.0
Bellandur,4,3016.0,4.0,3.0,23000000.0
Haralur Road,2,1000.0,2.0,2.0,4400000.0
Whitefield,2,1215.0,2.0,2.0,3900000.0
Kanakadasa Layout,4,1200.0,3.0,1.0,9500000.0
Lakshminarayana Pura,2,1336.0,2.0,2.0,10000000.0
Yeshwanthpur,1,673.0,1.0,1.0,3685000.0
Anandapura,2,1200.0,2.0,1.0,5800000.0
Lingarajapuram,6,600.0,7.0,2.0,6300000.0
Malleshwaram,3,1600.0,3.0,3.0,16000000.0
Mallathahalli,2,1200.0,2.0,0.0,7900000.0
Indira Nagar,6,2480.0,4.0,1.0,75000000.0
Devanahalli,5,2400.0,5.0,3.0,10000000.0
Sector 2 HSR Layout,2,1143.0,2.0,2.0,6500000.0
Kanakpura Road,2,1470.0,2.0,2.0,6174000.0
Laxminarayana Layout,4,1584.0,3.0,2.0,14500000.0
Marathahalli,3,1785.0,3.0,2.0,9400000.0
Koramangala,3,2292.0,3.0,2.0,28600000.0
Kothanur,3,1460.0,3.0,3.0,7100000.0
Kasturi Nagar,3,1500.0,2.0,3.0,8000000.0
Yelahanka,5,1200.0,4.0,1.0,14000000.0
Chikkalasandra,2,1230.0,2.0,2.0,4800000.0
Yelahanka New Town,1,650.0,1.0,1.0,2000000.0
Thanisandra,2,1220.0,2.0,1.0,4392000.0
Dooravani Nagar,3,1570.0,3.0,1.0,11500000.0
Sadashiva Nagar,3,3000.0,3.0,3.0,40000000.0
Mallasandra,3,1665.0,3.0,2.0,8691000.0
Banagiri Nagar,3,1350.0,3.0,1.0,38000000.0
Sarjapur  Road,4,4000.0,5.0,2.0,60000000.0
Ramamurthy Nagar,2,1100.0,2.0,0.0,6800000.0
Kathriguppe,3,1350.0,2.0,1.0,8701000.0
Kasavanhalli,3,1719.0,3.0,2.0,11600000.0
Budigere,1,664.0,1.0,1.0,3500000.0
Sonnenahalli,2,1011.0,2.0,1.0,5053000.0
Akshya Nagar,6,2400.0,6.0,0.0,13000000.0
Basaveshwara Nagar Yelahanka,3,1680.0,3.0,2.0,8500000.0
Thyagaraja Nagar,4,700.0,4.0,2.0,11000000.0
Whitefield,3,1520.0,2.0,2.0,15000000.0
Uttarahalli,3,1350.0,2.0,2.0,5300000.0
Pattandur Agrahara,2,875.0,2.0,1.0,3300000.0
Hennur,2,1231.0,2.0,2.0,4800000.0
Somasundara Palya,2,1174.0,2.0,3.0,7400000.0
Munnekollal,3,1560.0,3.0,3.0,7500000.0
HOSUR MAIN ROAD,2,1464.0,2.0,2.0,5600000.0
Kanakpura Road,3,2200.0,3.0,2.0,13000000.0
Shivaji Nagar,2,850.0,2.0,2.0,5500000.0
Sahyadri Layout,3,1750.0,3.0,1.0,18000000.0
Mathikere SBM colony,2,1500.0,1.0,0.0,16000000.0
Kodihalli,3,2408.0,4.0,2.0,26000000.0
Devanahalli,2,1080.0,2.0,1.0,4400000.0
Indira Nagar,3,2070.0,3.0,2.0,22500000.0
Electronic City,2,1020.0,2.0,1.0,2946000.0
Begur Road,3,1500.0,2.0,3.0,5500000.0
Mahalakshmi Layout,4,1575.0,5.0,1.0,15800000.0
Kodichikkanahalli,4,3250.0,4.0,1.0,18000000.0
Uttarahalli,2,1175.0,2.0,1.0,4700000.0
Channasandra,2,1030.0,2.0,1.0,3450000.0
Hebbal,2,1440.0,2.0,1.0,11500000.0
Hoodi,2,1500.0,2.0,1.0,8400000.0
Thanisandra,1,1380.0,1.0,1.0,6210000.0
Bagalur,2,1200.0,2.0,3.0,5000000.0
Vinayak Nagar,1,705.0,1.0,2.0,3650000.0
Harlur,3,2240.0,5.0,2.0,15500000.0
Hegde Nagar,3,1584.01,3.0,1.0,10300000.0
P Krishnappa Layout,3,1340.0,3.0,3.0,7700000.0
Green Garden Layout,3,1800.0,3.0,2.0,7000000.0
R.T. Nagar,2,1200.0,2.0,3.0,4500000.0
Sarjapur  Road,1,685.0,1.0,1.0,4000000.0
Kalkere,2,925.0,2.0,3.0,4200000.0
Crimson Layout,2,1230.0,2.0,2.0,5700000.0
Manjunath Nagar,5,1200.0,5.0,1.0,18500000.0
Kodichikkanahalli,2,1125.0,2.0,1.0,5200000.0
Hebbal,2,1100.0,2.0,1.0,5400000.0
Jigani,3,2400.0,3.0,2.0,14900000.0
Electronic City Phase II,3,1400.0,2.0,2.0,4158000.0
Uttarahalli,7,1200.0,7.0,2.0,22500000.0
Jakkur,3,1858.0,3.0,1.0,9830000.0
Adityanagar,1,1260.0,1.0,1.0,4100000.0
Ambedkar Nagar,4,3530.0,4.0,2.0,29000000.0
HSR Layout,2,1185.0,2.0,2.0,6000000.0
RMV 2nd Stage,2,1200.0,2.0,1.0,21600000.0
Hennur,2,1255.0,2.0,1.0,5800000.0
Rajaji Nagar,4,3436.0,6.0,3.0,47500000.0
Kudlu Gate,3,1335.0,3.0,2.0,8900000.0
Dodda Nekkundi,3,1999.0,3.0,2.0,13200000.0
Kanaka Nagar,2,1200.0,2.0,1.0,12500000.0
Kundalahalli,3,1397.0,3.0,2.0,11000000.0
Yelahanka New Town,2,1200.0,2.0,1.0,13000000.0
Chikka Tirupathi,3,1616.0,3.0,0.0,9500000.0
Banashankari Stage III,8,1200.0,7.0,2.0,35000000.0
Hanumantha Nagar,4,1270.0,2.0,1.0,17500000.0
Raja Rajeshwari Nagar,2,1140.0,2.0,2.0,3854999.9999999995
Kanakpura Road,1,525.0,1.0,1.0,3000000.0
Varthur,3,1200.0,2.0,1.0,9800000.0
Bagalakunte,1,700.0,1.0,1.0,16200000.0
Balagere,2,1205.47,2.0,1.0,8100000.0
T Dasarahalli,3,1200.0,3.0,2.0,13000000.0
Electronic City,3,1700.0,3.0,2.0,7500000.0
Thanisandra,5,750.0,4.0,0.0,6200000.0
Kanakpura Road,2,1090.0,2.0,1.0,5454000.0
Kundalahalli,1,2400.0,1.0,0.0,65000000.0
Thanisandra,1,923.0,1.0,1.0,6084000.0
Muthurayya Swamy Layout,4,3595.0,6.0,2.0,36000000.0
Green Glen Layout,2,1050.0,2.0,2.0,4800000.0
Whitefield,2,1495.0,2.0,2.0,7950000.0
Narayanapura,3,1485.0,3.0,2.0,8500000.0
Dommasandra,3,1033.0,2.0,2.0,3150000.0
Electronic City,3,1400.0,2.0,1.0,4800000.0
Indira Nagar,1,500.0,1.0,0.0,7000000.0
Sarjapur  Road,2,944.0,2.0,1.0,3500000.0
Whitefield,5,3250.0,5.0,0.0,29000000.0
Whitefield,2,1216.0,2.0,1.0,6648000.0
Thirumenahalli,2,1100.0,2.0,1.0,3950000.0
Thanisandra,3,1743.0,3.0,2.0,9325000.0
Yelahanka,2,1274.0,2.0,2.0,4842000.0
Lavelle Road,3,2500.0,3.0,2.0,42500000.0
Mysore Road,3,1512.0,2.0,2.0,11000000.0
Dollars Colony,4,3100.0,5.0,1.0,38500000.0
Cox Town,3,1650.0,3.0,3.0,10000000.0
Doddathoguru,3,1875.0,3.0,1.0,5500000.0
Whitefield,3,1350.0,3.0,2.0,5400000.0
Rajiv Gandhi Nagar,2,1219.0,2.0,2.0,4000000.0
Goraguntepalya,4,1200.0,4.0,1.0,15000000.0
Sarjapura - Attibele Road,3,2400.0,3.0,3.0,8500000.0
Hormavu,2,1141.0,2.0,1.0,4440000.0
Anandapura,2,1151.0,2.0,1.0,4310000.0
Bommenahalli,3,832.0,3.0,1.0,7700000.0
Sarjapur  Road,2,915.0,2.0,1.0,3800000.0
Rajankunte,3,3259.0,3.0,0.0,27000000.0
Bannerghatta Road,2,1115.0,2.0,1.0,6512000.0
Thigalarapalya,3,2072.0,4.0,2.0,13900000.0
Kaggadasapura,2,1200.0,2.0,2.0,5300000.0
Singasandra,2,1300.0,2.0,2.0,6500000.0
Bellandur,2,1457.0,2.0,2.0,8500000.0
Kannamangala,2,1262.0,2.0,2.0,5500000.0
BEML Layout,4,1196.0,3.0,1.0,15000000.0
Ananth Nagar,2,900.0,2.0,2.0,2250000.0
Attibele,1,420.0,1.0,1.0,1700000.0
Kanakapura,2,1160.0,2.0,1.0,4639000.0
Kasavanhalli,2,1115.0,2.0,2.0,5000000.0
JP Nagar,3,1315.0,2.0,1.0,8540000.0
Babusapalaya,2,1500.0,2.0,2.0,5700000.0
HSR Layout,2,1127.0,2.0,1.0,6800000.0
Kundalahalli,3,1397.0,3.0,2.0,10400000.0
Whitefield,2,1173.0,2.0,1.0,6000000.0
Sompura,2,1090.0,2.0,2.0,2800000.0
Jakkur,2,1230.0,2.0,1.0,7600000.0
6th Block Rajaji Nagar,4,3200.0,3.0,3.0,19000000.0
Sarjapur  Road,2,858.0,2.0,1.0,3157000.0
Talaghattapura,3,1868.0,3.0,1.0,12100000.0
Uttarahalli,3,1689.28,3.0,2.0,9120000.0
Vishwapriya Layout,4,600.0,3.0,2.0,7300000.0
Banashankari,3,1425.0,3.0,3.0,4988000.0
Subramanyapura,6,1200.0,6.0,2.0,17000000.0
Tindlu,2,1350.0,2.0,1.0,10000000.0
Channasandra,6,4200.0,6.0,0.0,18000000.0
Uttarahalli,3,1310.0,2.0,1.0,8500000.0
MLA Layout,2,970.0,2.0,1.0,4000000.0
Kundalahalli,3,1397.0,3.0,3.0,10800000.0
Sarjapur,2,1157.0,2.0,1.0,4000000.0
Kasavanhalli,2,1125.0,2.0,1.0,6120000.0
Sonnenahalli,2,1157.0,2.0,1.0,4200000.0
Sarjapur  Road,2,1241.0,2.0,1.0,8200000.0
Binny Pete,1,660.0,1.0,1.0,6200000.0
Marathahalli,4,4000.0,4.0,3.0,22000000.0
Rajiv Nagar,4,2340.0,4.0,1.0,14800000.0
Venkatadri Layout,1,596.0,1.0,1.0,4200000.0
Kyalasanahalli,4,1200.0,4.0,3.0,11000000.0
Ambedkar Colony,3,1910.0,3.0,1.0,19000000.0
Brookefield,2,1139.0,2.0,2.0,8000000.0
Thigalarapalya,4,3122.0,5.0,2.0,22500000.0
Sarjapura - Attibele Road,2,1033.0,2.0,2.0,2841000.0
Yeshwanthpur,2,1168.0,2.0,2.0,6408000.0
Chandapura,2,877.0,2.0,3.0,4200000.0
Electronics City Phase 1,2,1340.0,2.0,2.0,7500000.0
B Narayanapura,3,1405.0,2.0,2.0,7000000.0
Siddapura,3,1800.0,3.0,3.0,6500000.0
 Devarabeesana Halli,3,1750.0,3.0,3.0,14900000.0
Motappa Layout,3,1360.0,2.0,1.0,6500000.0
Malleshwaram,3,675.0,2.0,0.0,14800000.0
Byrasandra,2,985.0,2.0,1.0,6300000.0
Victoria Layout,2,1300.0,2.0,1.0,12900000.0
7th Phase JP Nagar,3,1850.0,3.0,2.0,15000000.0
Rustam Bagh Layout,3,1490.0,2.0,3.0,8800000.0
Byagadadhenahalli,2,620.0,1.0,1.0,2500000.0
Hormavu,2,1130.0,2.0,1.0,4230000.0
Yelachenahalli,2,1080.0,2.0,2.0,5500000.0
Begur Road,3,1410.0,2.0,3.0,5217000.0
Bommanahalli,3,1375.0,3.0,2.0,5900000.0
Hennur Road,3,1290.0,2.0,1.0,9450000.0
Hosa Road,3,1318.0,2.0,1.0,8528000.0
Electronic City,2,1128.0,2.0,1.0,6800000.0
Meenakunte,4,4428.0,4.0,2.0,25500000.0
Kanakpura Road,2,1051.0,2.0,2.0,5674000.0
Kengeri,3,3500.0,5.0,0.0,27500000.0
